D2019-05-08T03:39:14.678	Task### cpu usage : 0.04%, memory usage : 5791744Byte
D2019-05-08T03:39:16.677	Task### cpu usage : 0.04%, memory usage : 5791744Byte
D2019-05-08T03:39:18.677	Task### cpu usage : 0.04%, memory usage : 5791744Byte
D2019-05-08T03:39:20.677	Task### cpu usage : 0.04%, memory usage : 5791744Byte
D2019-05-08T03:39:22.677	Task### cpu usage : 0.04%, memory usage : 5791744Byte
D2019-05-08T03:39:24.676	Task### cpu usage : 0.04%, memory usage : 5791744Byte
D2019-05-08T03:39:26.677	Task### cpu usage : 0.03%, memory usage : 5791744Byte
D2019-05-08T03:39:28.677	Task### cpu usage : 0.03%, memory usage : 5791744Byte
D2019-05-08T03:39:30.677	Task### cpu usage : 0.03%, memory usage : 5791744Byte
D2019-05-08T03:39:32.677	Task### cpu usage : 0.03%, memory usage : 5791744Byte
D2019-05-08T03:39:34.679	Task### cpu usage : 0.03%, memory usage : 5791744Byte
D2019-05-08T03:39:36.678	Task### cpu usage : 0.03%, memory usage : 5791744Byte
D2019-05-08T03:39:38.678	Task### cpu usage : 0.03%, memory usage : 5791744Byte
D2019-05-08T03:39:40.677	Task### cpu usage : 0.03%, memory usage : 5791744Byte
D2019-05-08T03:39:42.678	Task### cpu usage : 0.03%, memory usage : 5791744Byte
D2019-05-08T03:39:44.678	Task### cpu usage : 0.03%, memory usage : 5791744Byte
D2019-05-08T03:39:46.677	Task### cpu usage : 0.03%, memory usage : 5791744Byte
D2019-05-08T03:39:48.677	Task### cpu usage : 0.03%, memory usage : 5791744Byte
D2019-05-08T03:39:50.677	Task### cpu usage : 0.03%, memory usage : 5791744Byte
D2019-05-08T03:39:52.677	Task### cpu usage : 0.04%, memory usage : 5791744Byte
D2019-05-08T03:39:54.677	Task### cpu usage : 0.04%, memory usage : 5791744Byte
D2019-05-08T03:39:56.677	Task### cpu usage : 0.04%, memory usage : 5791744Byte
D2019-05-08T03:39:58.678	Task### cpu usage : 0.04%, memory usage : 5791744Byte
D2019-05-08T03:40:00.678	Task### cpu usage : 0.04%, memory usage : 5791744Byte
D2019-05-08T03:40:02.678	Task### cpu usage : 0.04%, memory usage : 5791744Byte
D2019-05-08T03:40:04.677	Task### cpu usage : 0.04%, memory usage : 5791744Byte
D2019-05-08T03:40:06.678	Task### cpu usage : 0.03%, memory usage : 5791744Byte
D2019-05-08T03:40:08.677	Task### cpu usage : 0.03%, memory usage : 5791744Byte
D2019-05-08T03:40:10.676	Task### cpu usage : 0.03%, memory usage : 5791744Byte
D2019-05-08T03:40:12.677	Task### cpu usage : 0.03%, memory usage : 5791744Byte
D2019-05-08T03:40:14.677	Task### cpu usage : 0.03%, memory usage : 5791744Byte
D2019-05-08T03:40:16.678	Task### cpu usage : 0.03%, memory usage : 5791744Byte
D2019-05-08T03:40:18.678	Task### cpu usage : 0.03%, memory usage : 5791744Byte
D2019-05-08T03:40:20.678	Task### cpu usage : 0.03%, memory usage : 5791744Byte
D2019-05-08T03:40:22.677	Task### cpu usage : 0.03%, memory usage : 5808128Byte
D2019-05-08T03:40:24.678	Task### cpu usage : 0.03%, memory usage : 5808128Byte
D2019-05-08T03:40:26.678	Task### cpu usage : 0.03%, memory usage : 5808128Byte
D2019-05-08T03:40:28.678	Task### cpu usage : 0.03%, memory usage : 5808128Byte
D2019-05-08T03:40:30.677	Task### cpu usage : 0.03%, memory usage : 5808128Byte
D2019-05-08T03:40:32.677	Task### cpu usage : 0.03%, memory usage : 5808128Byte
D2019-05-08T03:40:34.677	Task### cpu usage : 0.03%, memory usage : 5808128Byte
D2019-05-08T03:40:36.677	Task### cpu usage : 0.03%, memory usage : 5808128Byte
D2019-05-08T03:40:38.678	Task### cpu usage : 0.03%, memory usage : 5808128Byte
D2019-05-08T03:40:40.677	Task### cpu usage : 0.03%, memory usage : 5808128Byte
D2019-05-08T03:40:42.677	Task### cpu usage : 0.03%, memory usage : 5808128Byte
D2019-05-08T03:40:44.678	Task### cpu usage : 0.03%, memory usage : 5808128Byte
D2019-05-08T03:40:46.677	Task### cpu usage : 0.04%, memory usage : 5808128Byte
D2019-05-08T03:40:48.677	Task### cpu usage : 0.04%, memory usage : 5808128Byte
D2019-05-08T03:40:50.677	Task### cpu usage : 0.03%, memory usage : 5808128Byte
D2019-05-08T03:40:52.677	Task### cpu usage : 0.04%, memory usage : 5808128Byte
D2019-05-08T03:40:54.677	Task### cpu usage : 0.04%, memory usage : 5808128Byte
D2019-05-08T03:40:56.677	Task### cpu usage : 0.03%, memory usage : 5808128Byte
D2019-05-08T03:40:58.676	Task### cpu usage : 0.03%, memory usage : 5808128Byte
D2019-05-08T03:41:00.677	Task### cpu usage : 0.03%, memory usage : 5808128Byte
D2019-05-08T03:41:02.678	Task### cpu usage : 0.03%, memory usage : 5808128Byte
D2019-05-08T03:41:04.676	Task### cpu usage : 0.03%, memory usage : 5808128Byte
D2019-05-08T03:41:06.678	Task### cpu usage : 0.03%, memory usage : 5808128Byte
D2019-05-08T03:41:08.678	Task### cpu usage : 0.03%, memory usage : 5808128Byte
D2019-05-08T03:41:10.678	Task### cpu usage : 0.03%, memory usage : 5808128Byte
D2019-05-08T03:41:12.677	Task### cpu usage : 0.03%, memory usage : 5808128Byte
D2019-05-08T03:41:14.678	Task### cpu usage : 0.03%, memory usage : 5808128Byte
D2019-05-08T03:41:16.677	Task### cpu usage : 0.03%, memory usage : 5808128Byte
D2019-05-08T03:41:18.679	Task### cpu usage : 0.03%, memory usage : 5808128Byte
D2019-05-08T03:41:20.676	Task### cpu usage : 0.03%, memory usage : 5808128Byte
D2019-05-08T03:41:21.580	IOCPServer* client accecpt from [223.194.100.64]
D2019-05-08T03:41:22.676	Task### cpu usage : 0.03%, memory usage : 5836800Byte
D2019-05-08T03:41:24.676	Task### cpu usage : 0.03%, memory usage : 5836800Byte
D2019-05-08T03:41:24.380	ContentsProcess*** [132] packet run ***
D2019-05-08T03:41:24.407	ContentsProcess*** [136] packet run ***
D2019-05-08T03:41:24.407	ContentsProcess* id/ pw result = 1
D2019-05-08T03:41:24.440	ContentsProcess*** [140] packet run ***
D2019-05-08T03:41:24.441	ContentsProcess* loaded [test1] user name, from [223.194.100.66]
D2019-05-08T03:41:24.442	ContentsProcessSession Send Size : 43 

D2019-05-08T03:41:24.489	IOCPServer* detected close by client [223.194.100.64]
D2019-05-08T03:41:26.677	Task### cpu usage : 0.03%, memory usage : 5832704Byte
D2019-05-08T03:41:28.678	Task### cpu usage : 0.03%, memory usage : 5832704Byte
D2019-05-08T03:41:30.676	Task### cpu usage : 0.03%, memory usage : 5832704Byte
D2019-05-08T03:41:32.677	Task### cpu usage : 0.03%, memory usage : 5832704Byte
D2019-05-08T03:41:34.678	Task### cpu usage : 0.03%, memory usage : 5832704Byte
D2019-05-08T03:41:36.678	Task### cpu usage : 0.03%, memory usage : 5832704Byte
D2019-05-08T03:41:38.677	Task### cpu usage : 0.03%, memory usage : 5832704Byte
D2019-05-08T03:41:40.676	Task### cpu usage : 0.03%, memory usage : 5832704Byte
D2019-05-08T03:41:42.678	Task### cpu usage : 0.03%, memory usage : 5832704Byte
D2019-05-08T03:41:44.677	Task### cpu usage : 0.03%, memory usage : 5832704Byte
D2019-05-08T03:41:46.677	Task### cpu usage : 0.03%, memory usage : 5832704Byte
D2019-05-08T03:41:48.678	Task### cpu usage : 0.03%, memory usage : 5832704Byte
D2019-05-08T03:41:50.678	Task### cpu usage : 0.03%, memory usage : 5832704Byte
D2019-05-08T03:41:52.677	Task### cpu usage : 0.03%, memory usage : 5832704Byte
D2019-05-08T03:41:54.677	Task### cpu usage : 0.03%, memory usage : 5832704Byte
D2019-05-08T03:41:56.677	Task### cpu usage : 0.03%, memory usage : 5832704Byte
D2019-05-08T03:41:58.677	Task### cpu usage : 0.03%, memory usage : 5832704Byte
D2019-05-08T03:42:00.677	Task### cpu usage : 0.03%, memory usage : 5832704Byte
D2019-05-08T03:42:02.677	Task### cpu usage : 0.03%, memory usage : 5832704Byte
D2019-05-08T03:42:04.678	Task### cpu usage : 0.03%, memory usage : 5832704Byte
D2019-05-08T03:42:06.676	Task### cpu usage : 0.03%, memory usage : 5832704Byte
D2019-05-08T03:42:08.676	Task### cpu usage : 0.03%, memory usage : 5832704Byte
D2019-05-08T03:42:10.678	Task### cpu usage : 0.03%, memory usage : 5832704Byte
D2019-05-08T03:42:12.678	Task### cpu usage : 0.03%, memory usage : 5832704Byte
D2019-05-08T03:42:14.678	Task### cpu usage : 0.03%, memory usage : 5832704Byte
D2019-05-08T03:42:16.677	Task### cpu usage : 0.03%, memory usage : 5832704Byte
D2019-05-08T03:42:18.677	Task### cpu usage : 0.03%, memory usage : 5832704Byte
D2019-05-08T03:42:20.677	Task### cpu usage : 0.03%, memory usage : 5832704Byte
D2019-05-08T03:42:22.678	Task### cpu usage : 0.03%, memory usage : 5832704Byte
D2019-05-08T03:42:24.677	Task### cpu usage : 0.03%, memory usage : 5832704Byte
D2019-05-08T03:42:26.677	Task### cpu usage : 0.03%, memory usage : 5832704Byte
D2019-05-08T03:42:28.677	Task### cpu usage : 0.02%, memory usage : 5832704Byte
D2019-05-08T03:42:30.677	Task### cpu usage : 0.02%, memory usage : 5832704Byte
D2019-05-08T03:42:32.678	Task### cpu usage : 0.02%, memory usage : 5832704Byte
D2019-05-08T03:42:34.678	Task### cpu usage : 0.02%, memory usage : 5832704Byte
D2019-05-08T03:42:36.677	Task### cpu usage : 0.02%, memory usage : 5832704Byte
D2019-05-08T03:42:38.676	Task### cpu usage : 0.02%, memory usage : 5832704Byte
D2019-05-08T03:42:38.500	IOCPServer* detected close by client [223.194.100.66]
D2019-05-08T03:42:38.502	Terminal! termnal [DBAgent] disconnected !
D2019-05-08T03:42:39.255	IOCPServer* detected close by client [223.194.100.66]
D2019-05-08T03:42:39.259	Terminal! termnal [ChattingServer] disconnected !
D2019-05-08T03:42:39.506	Terminal! terminal socket connect fail
D2019-05-08T03:42:39.506	Terminal* try connect [DBAgent] server[223.194.100.66]:[9100]... [0]
D2019-05-08T03:42:40.678	Task### cpu usage : 0.02%, memory usage : 5783552Byte
